Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
187.7594757080078,188.9966236513369,186.7103615664657,187.6209157424311,54412900
187.73965454101562,188.42256253993392,186.63117494967102,188.2938943366879,50922700
189.48155212402344,189.9368291546864,187.9277023558229,187.93759410143886,46505100
188.67991638183594,189.5508734120303,187.78917585688575,189.442003783256,38134500
189.34300231933594,190.9463411053134,188.8679417719912,189.52115946327928,39617700
188.01678466796875,188.93721542830764,187.30418629136327,188.9075250877743,24048300
187.83863830566406,188.70959528304604,186.95778958150402,187.96730652329646,40552600
188.44235229492188,189.1153685705385,187.45263402635211,187.82873180101734,38415400
187.42295837402344,190.11499348364924,187.02707707633283,188.93722623545,43014200
187.99700927734375,188.36321535895866,186.2551103094808,187.88813964798328,48794400
189.2737274169922,189.59042941044567,187.2843840288066,188.37308016671426,45704800
187.4823455810547,188.0959812462982,185.5227074160739,188.0266937107449,43389500
191.4313201904297,192.40123993854135,188.22462732075607,188.25433276481266,66628400
190.3426513671875,192.75755159573393,190.1348038567878,192.4507413057332,41089700
192.27256774902344,192.99505783958267,191.5995514892092,191.63914867608756,47477700
193.69778442382812,193.9749043529612,191.67875053796885,192.20330005396386,53406400
191.1938018798828,191.50062728331056,189.45190285406377,191.12452944175106,60943700
192.70803833007812,192.71793007544312,189.74877546060196,191.094792823406,52696900
195.9246368408203,195.96421892707963,192.8466123940007,193.08413511536142,70404200
196.0731201171875,197.56758952005956,194.14317218582164,195.98404908233329,66831600
195.5386505126953,196.36010340669733,194.97450383643803,195.4990533238864,128538400
193.87591552734375,194.60831249977454,192.39133809002112,194.0738561652729,55751900
194.91513061523438,194.92502236186388,193.87592334681435,194.1431515248431,40714100
192.8268280029297,195.6475162401682,192.8268280029297,194.87553713507947,52242800
192.67835998535156,195.05369307239374,191.51049958819766,194.08377332368417,46482500
191.60951232910156,193.40090044162866,190.98598482623512,193.1732543076864,37149600
191.0651397705078,191.8964996004414,190.84740051477698,191.6193796571302,28919300
191.16407775878906,191.51048519395766,189.12526053943682,190.51087517820892,48087700
191.5896453857422,192.6585428228251,191.18385731110962,192.1438851452887,34049900
190.55044555664062,192.40121377472641,189.75866796911842,191.90635467026271,42672100
183.73129272460938,186.50250680575422,181.99928581163158,185.2257618242656,82488700
182.35560607910156,183.96885182302105,181.5440297827802,182.32591573673892,58414500
180.0396728515625,181.2075332827541,179.02026413555495,180.277195595857,71983600
179.31715393066406,180.88091065327836,178.31754388665928,180.1188384374096,62379700
183.65211486816406,183.69171205497358,179.63386121540748,180.21779135468154,59144500
183.2364501953125,183.24634194188326,180.85122540618832,182.0289926299427,42841800
184.27566528320312,184.48349768333688,182.02900036017593,182.4545871112419,46792900
183.6818084716797,185.12680377786887,181.73206228896322,184.6220377994394,49128400
184.00840759277344,184.81998377301193,183.28591752878404,184.14696753794814,40477800
181.74197387695312,182.36548612847807,179.0697224204938,180.28708678689063,65603000
180.80172729492188,181.04915686376333,178.44620806884475,179.40623600410183,47317400
186.6905517578125,187.19530261085842,183.91933773499053,184.17665903424702,78005800
189.5904541015625,189.97644367310738,186.8786353534436,187.38338630026252,68903000
191.896484375,193.32168117146784,190.2832386815117,190.32283587135973,60133900
193.1732177734375,193.73736447446063,191.83710707958323,193.01487431695855,42355600
192.5001983642578,194.36087349468033,192.3418398208385,193.41073733606618,53631300
192.17361450195312,194.2520291241628,191.1245154438125,193.21282181305796,54822100
190.4415740966797,192.75751105858055,189.966513589549,192.27255880614135,44594000
189.7586669921875,190.22383575614066,187.6307788947091,190.03578688110838,47145600
186.10662841796875,189.82797900977772,185.54249682198056,188.97682064057707,55859400
182.50404357910156,185.17629499887522,182.45456974695213,185.11689921687164,55467800
184.9387664794922,185.02783750412453,181.93002942176474,182.0982797244824,64885400
183.9391632080078,185.40394215196616,177.40701599262258,178.01074479617154,102551700
185.75033569335938,187.3042007769885,183.92925752426459,186.21550453356022,69668800
187.35366821289062,187.36355995873058,184.8496822422945,184.93875326056028,43490800
187.46255493164062,189.0856924097343,186.67077723703076,188.67990426473503,53439000
186.38375854492188,187.59120098390878,185.42373058041275,187.44274927884152,40962000
